Name_submitted,Accepted_name,Order,Matrix_name,Major Clade,Sample_Number,Sample_ID,Sample,Leaf Side,solidity8,wl_ratio
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.3,3.04.1,3.04,adaxial,0.46061826391712013,0.47718320539331116
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.30,3.04.1,3.04,adaxial,0.5511017500303302,0.7131522591803181
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.4,3.04.1,3.04,adaxial,0.5695316828882697,0.7544197207555562
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.5,3.04.1,3.04,adaxial,0.5745234010155745,0.5181680514183051
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.6,3.04.1,3.04,adaxial,0.6377140852729204,0.5780451255588495
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.7,3.04.1,3.04,adaxial,0.7964491159313605,0.8001880798340077
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.8,3.04.1,3.04,adaxial,0.6560703861250763,0.5715000975395249
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.9,3.04.1,3.04,adaxial,0.7998465725131152,0.7226126795906795
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.1,3.04.2,3.04,abaxial,0.24257015495229303,0.7073163850734422
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.10,3.04.2,3.04,abaxial,0.7334438262633085,0.4216107908713167
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.11,3.04.2,3.04,abaxial,0.3708725419488677,0.3887512880704519
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.2.12,3.04.2,3.04,abaxial,0.5391986329470593,0.41194126451338337
